circuitId,url,circuitName,lat,long,locality,country
albert_park,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia
catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain
estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Autódromo do Estoril,38.7506,-9.39417,Estoril,Portugal
galvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina
hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany
hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary
imola,https://en.wikipedia.org/wiki/Imola_Circuit,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy
interlagos,https://en.wikipedia.org/wiki/Interlagos_Circuit,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil
magny_cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France
monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco
monza,https://en.wikipedia.org/wiki/Monza_Circuit,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy
nurburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany
silverstone,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK
spa,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium
suzuka,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka Circuit,34.8431,136.541,Suzuka,Japan
villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada
